model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/LaTa,hidden,mean,12,baseline,0,0.001,clean,943,335,0.8208955223880597,0.8925373134328358,0.9223880597014925,0.8208955223880597,0.8925373134328358,0.9223880597014925,0.8214679956436157,0.5757536292076111,0.24571436643600464,0.5762767195701599
bowphs/LaTa,hidden,mean,12,abtt,10,0.001,clean,943,335,0.9074626865671642,0.9582089552238806,0.9641791044776119,0.9074626865671642,0.9582089552238806,0.9641791044776119,0.5547323822975159,-0.0011541667627170682,0.5558865490602329,2.9131508199498057e-05
bowphs/LaTa,hidden,sif,0,baseline,0,0.001,clean,943,335,0.9343283582089552,0.9582089552238806,0.9582089552238806,0.9343283582089552,0.9582089552238806,0.9582089552238806,0.7389165759086609,0.28703802824020386,0.45187854766845703,0.2879998981952667
bowphs/LaTa,hidden,sif,0,abtt,10,0.001,clean,943,335,0.9402985074626866,0.9611940298507463,0.9671641791044776,0.9402985074626866,0.9611940298507463,0.9671641791044776,0.5785566568374634,-0.0012783952988684177,0.5798350521363318,-4.411884947330691e-05
bowphs/LaTa,hidden,sif,1,baseline,0,0.001,clean,943,335,0.9313432835820895,0.9552238805970149,0.9611940298507463,0.9313432835820895,0.9552238805970149,0.9611940298507463,0.7931243181228638,0.4066976308822632,0.3864266872406006,0.407520055770874
bowphs/LaTa,hidden,sif,1,abtt,10,0.001,clean,943,335,0.9402985074626866,0.9641791044776119,0.9701492537313433,0.9402985074626866,0.9641791044776119,0.9701492537313433,0.596235454082489,-0.0012662080116569996,0.597501662094146,5.674888143403223e-06
bowphs/LaTa,hidden,sif,2,baseline,0,0.001,clean,943,335,0.9253731343283582,0.9522388059701492,0.9582089552238806,0.9253731343283582,0.9522388059701492,0.9582089552238806,0.8412348031997681,0.5546157360076904,0.28661906719207764,0.5552257299423218
bowphs/LaTa,hidden,sif,2,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9611940298507463,0.9671641791044776,0.9253731343283582,0.9611940298507463,0.9671641791044776,0.5949859619140625,-0.0012366626178845763,0.5962226245319471,3.249784276704304e-05
bowphs/LaTa,hidden,sif,3,baseline,0,0.001,clean,943,335,0.8388059701492537,0.8955223880597015,0.9134328358208955,0.8388059701492537,0.8955223880597015,0.9134328358208955,0.8439339995384216,0.62813800573349,0.21579599380493164,0.6285972595214844
bowphs/LaTa,hidden,sif,3,abtt,10,0.001,clean,943,335,0.9283582089552239,0.9641791044776119,0.9701492537313433,0.9283582089552239,0.9641791044776119,0.9701492537313433,0.5973507761955261,-0.0011426055571064353,0.5984933817526326,0.00013138829672243446
bowphs/LaTa,hidden,sif,4,baseline,0,0.001,clean,943,335,0.6626865671641791,0.7313432835820896,0.7791044776119403,0.6626865671641791,0.7313432835820896,0.7791044776119403,0.8417587876319885,0.6630873680114746,0.17867141962051392,0.6634677052497864
bowphs/LaTa,hidden,sif,4,abtt,10,0.001,clean,943,335,0.9313432835820895,0.9582089552238806,0.9731343283582089,0.9313432835820895,0.9582089552238806,0.9731343283582089,0.5988444685935974,-0.0009785398142412305,0.5998230084078386,0.00029828495462425053
bowphs/LaTa,hidden,sif,5,baseline,0,0.001,clean,943,335,0.6268656716417911,0.7104477611940299,0.7402985074626866,0.6268656716417911,0.7104477611940299,0.7402985074626866,0.84912109375,0.6855200529098511,0.16360104084014893,0.6858680844306946
bowphs/LaTa,hidden,sif,5,abtt,10,0.001,clean,943,335,0.9283582089552239,0.9582089552238806,0.9611940298507463,0.9283582089552239,0.9582089552238806,0.9611940298507463,0.6063920259475708,-0.0009663582895882428,0.607358384237159,0.0003265064733568579
bowphs/LaTa,hidden,sif,6,baseline,0,0.001,clean,943,335,0.6119402985074627,0.6746268656716418,0.7044776119402985,0.6119402985074627,0.6746268656716418,0.7044776119402985,0.8553580641746521,0.708314836025238,0.14704322814941406,0.7086279988288879
bowphs/LaTa,hidden,sif,6,abtt,10,0.001,clean,943,335,0.9343283582089552,0.9552238805970149,0.9641791044776119,0.9343283582089552,0.9552238805970149,0.9641791044776119,0.6052731871604919,-0.0008669007802382112,0.6061400879407302,0.00042337042395956814
bowphs/LaTa,hidden,sif,7,baseline,0,0.001,clean,943,335,0.6059701492537314,0.6805970149253732,0.6925373134328359,0.6059701492537314,0.6805970149253732,0.6925373134328359,0.8722828030586243,0.7456809282302856,0.12660187482833862,0.7459506392478943
bowphs/LaTa,hidden,sif,7,abtt,10,0.001,clean,943,335,0.9343283582089552,0.9522388059701492,0.9641791044776119,0.9343283582089552,0.9522388059701492,0.9641791044776119,0.6032552719116211,-0.0009820639388635755,0.6042373358504847,0.0003041570307686925
bowphs/LaTa,hidden,sif,8,baseline,0,0.001,clean,943,335,0.5701492537313433,0.6477611940298508,0.6716417910447762,0.5701492537313433,0.6477611940298508,0.6716417910447762,0.8712443113327026,0.7525550127029419,0.11868929862976074,0.7528076767921448
bowphs/LaTa,hidden,sif,8,abtt,10,0.001,clean,943,335,0.9373134328358209,0.9582089552238806,0.9611940298507463,0.9373134328358209,0.9582089552238806,0.9611940298507463,0.5990158319473267,-0.0010013009887188673,0.6000171329360455,0.0002759363560471684
bowphs/LaTa,hidden,sif,9,baseline,0,0.001,clean,943,335,0.6029850746268657,0.6626865671641791,0.6865671641791045,0.6029850746268657,0.6626865671641791,0.6865671641791045,0.8860647082328796,0.7751129269599915,0.11095178127288818,0.7753493189811707
bowphs/LaTa,hidden,sif,9,abtt,10,0.001,clean,943,335,0.9343283582089552,0.9522388059701492,0.9582089552238806,0.9343283582089552,0.9522388059701492,0.9582089552238806,0.6028656959533691,-0.00103287014644593,0.6038985660998151,0.00025263006682507694
bowphs/LaTa,hidden,sif,10,baseline,0,0.001,clean,943,335,0.6029850746268657,0.6716417910447762,0.6955223880597015,0.6029850746268657,0.6716417910447762,0.6955223880597015,0.8909033536911011,0.7816820740699768,0.10922127962112427,0.781914234161377
