model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,french,20,sif_abtt_optimal,10,train_sweep,0.001,0.8572498147557421,0.8679653180948323,505,505
Qwen/Qwen3-Embedding-8B,french,20,whitening,0,none,0.001,0.28148323543651627,0.528522645682921,505,505
Qwen/Qwen3-Embedding-8B,french,21,baseline_mean,0,none,0.001,0.6323353089801266,0.6185356616503003,505,505
Qwen/Qwen3-Embedding-8B,french,21,sif_abtt_optimal,10,train_sweep,0.001,0.8591492723358188,0.8706961373638643,505,505
Qwen/Qwen3-Embedding-8B,french,21,whitening,0,none,0.001,0.307161797784073,0.5181029394767481,505,505
Qwen/Qwen3-Embedding-8B,french,22,baseline_mean,0,none,0.001,0.6421827264504013,0.6307606356649637,505,505
Qwen/Qwen3-Embedding-8B,french,22,sif_abtt_optimal,10,train_sweep,0.001,0.8623106047203273,0.8729031011691432,505,505
Qwen/Qwen3-Embedding-8B,french,22,whitening,0,none,0.001,0.30369617724778836,0.5065393220740891,505,505
Qwen/Qwen3-Embedding-8B,french,23,baseline_mean,0,none,0.001,0.6612964526309071,0.6532234684186924,505,505
Qwen/Qwen3-Embedding-8B,french,23,sif_abtt_optimal,10,train_sweep,0.001,0.8662886884749826,0.8759697587014783,505,505
Qwen/Qwen3-Embedding-8B,french,23,whitening,0,none,0.001,0.32378273946418773,0.432496311265736,505,505
Qwen/Qwen3-Embedding-8B,french,24,baseline_mean,0,none,0.001,0.7060881815485754,0.713564585850522,505,505
Qwen/Qwen3-Embedding-8B,french,24,sif_abtt_optimal,10,train_sweep,0.001,0.8701174495228201,0.8784166402885808,505,505
Qwen/Qwen3-Embedding-8B,french,24,whitening,0,none,0.001,0.19138083222907723,0.5149191442441329,505,505
Qwen/Qwen3-Embedding-8B,french,25,baseline_mean,0,none,0.001,0.7393691910021906,0.750590404645334,505,505
Qwen/Qwen3-Embedding-8B,french,25,sif_abtt_optimal,10,train_sweep,0.001,0.8715313051834414,0.8752643211497909,505,505
Qwen/Qwen3-Embedding-8B,french,25,whitening,0,none,0.001,0.29403171259142524,0.4274103340785709,505,505
Qwen/Qwen3-Embedding-8B,french,26,baseline_mean,0,none,0.001,0.7594461465734917,0.774203490445564,505,505
Qwen/Qwen3-Embedding-8B,french,26,sif_abtt_optimal,10,train_sweep,0.001,0.873914639217592,0.8744000575602238,505,505
Qwen/Qwen3-Embedding-8B,french,26,whitening,0,none,0.001,0.2300386716173292,0.4211660832698853,505,505
Qwen/Qwen3-Embedding-8B,french,27,baseline_mean,0,none,0.001,0.7795369058678465,0.7969220023436542,505,505
Qwen/Qwen3-Embedding-8B,french,27,sif_abtt_optimal,10,train_sweep,0.001,0.8730055054982235,0.8716033483347843,505,505
Qwen/Qwen3-Embedding-8B,french,27,whitening,0,none,0.001,0.16616441479862448,0.4275981181227701,505,505
Qwen/Qwen3-Embedding-8B,french,28,baseline_mean,0,none,0.001,0.7886881213736969,0.8048306157313209,505,505
Qwen/Qwen3-Embedding-8B,french,28,sif_abtt_optimal,7,train_sweep,0.001,0.8689250596756525,0.8719501449418638,505,505
Qwen/Qwen3-Embedding-8B,french,28,whitening,0,none,0.001,0.21999916787928944,0.4472294185251023,505,505
Qwen/Qwen3-Embedding-8B,french,29,baseline_mean,0,none,0.001,0.7992258648992581,0.8170437322179585,505,505
Qwen/Qwen3-Embedding-8B,french,29,sif_abtt_optimal,10,train_sweep,0.001,0.8694499275910919,0.8662624381032594,505,505
Qwen/Qwen3-Embedding-8B,french,29,whitening,0,none,0.001,0.1555788712185696,0.42887949824458493,505,505
Qwen/Qwen3-Embedding-8B,french,30,baseline_mean,0,none,0.001,0.8122276662583149,0.8271442477524018,505,505
Qwen/Qwen3-Embedding-8B,french,30,sif_abtt_optimal,7,train_sweep,0.001,0.8659414968596608,0.863931481803934,505,505
Qwen/Qwen3-Embedding-8B,french,30,whitening,0,none,0.001,0.12272311903024931,0.4838121833947282,505,505
Qwen/Qwen3-Embedding-8B,french,31,baseline_mean,0,none,0.001,0.8194167669076556,0.8320078173054531,505,505
Qwen/Qwen3-Embedding-8B,french,31,sif_abtt_optimal,7,train_sweep,0.001,0.8619965233866547,0.8593832561930551,505,505
Qwen/Qwen3-Embedding-8B,french,31,whitening,0,none,0.001,0.12451881551642538,0.4567612086800252,505,505
Qwen/Qwen3-Embedding-8B,french,32,baseline_mean,0,none,0.001,0.8297880538874769,0.8362271566439181,505,505
Qwen/Qwen3-Embedding-8B,french,32,sif_abtt_optimal,10,train_sweep,0.001,0.8600301923644864,0.8532891113784785,505,505
Qwen/Qwen3-Embedding-8B,french,32,whitening,0,none,0.001,0.1520967888098594,0.46837784581406094,505,505
Qwen/Qwen3-Embedding-8B,french,33,baseline_mean,0,none,0.001,0.8300290787654329,0.8374510404343455,505,505
Qwen/Qwen3-Embedding-8B,french,33,sif_abtt_optimal,10,train_sweep,0.001,0.8575720570743282,0.8522811302760676,505,505
Qwen/Qwen3-Embedding-8B,french,33,whitening,0,none,0.001,0.11620431081811075,0.403451943871265,505,505
Qwen/Qwen3-Embedding-8B,french,34,baseline_mean,0,none,0.001,0.8310506009294063,0.8417905445697251,505,505
Qwen/Qwen3-Embedding-8B,french,34,sif_abtt_optimal,10,train_sweep,0.001,0.8562994097698109,0.8535106098165083,505,505
Qwen/Qwen3-Embedding-8B,french,34,whitening,0,none,0.001,0.04795571945154853,0.5463414722380417,505,505
Qwen/Qwen3-Embedding-8B,french,35,baseline_mean,0,none,0.001,0.835884123081094,0.8472708356078335,505,505
Qwen/Qwen3-Embedding-8B,french,35,sif_abtt_optimal,10,train_sweep,0.001,0.8540387703145605,0.8513217855675228,505,505
